2011-03-11,00:00,1.37980,1.39150,1.37530,1.39020,2201
2011-03-14,00:00,1.39690,1.40030,1.39050,1.39920,1731
2011-03-15,00:00,1.39930,1.40130,1.38560,1.39980,3091
2011-03-16,00:00,1.39970,1.40030,1.38670,1.38990,1741
2011-03-18,00:00,1.40210,1.41840,1.39810,1.41820,2451
2011-03-21,00:00,1.41970,1.42400,1.41390,1.42260,1731
2011-03-22,00:00,1.42260,1.42480,1.41800,1.41960,1061
2011-03-23,00:00,1.41960,1.42150,1.40870,1.40880,1481
2011-03-24,00:00,1.40870,1.42200,1.40540,1.41770,2421
2011-03-25,00:00,1.41770,1.41940,1.40560,1.40870,1861
2011-03-28,00:00,1.40440,1.41160,1.40220,1.40870,1451
2011-03-29,00:00,1.40870,1.41500,1.40480,1.41140,1771
2011-03-30,00:00,1.41120,1.41470,1.40520,1.41280,1741
2011-03-31,00:00,1.41270,1.42330,1.41160,1.41580,2031
2011-04-01,00:00,1.41580,1.42460,1.40630,1.42350,2891
2011-04-04,00:00,1.42350,1.42680,1.41930,1.42210,1361
2011-04-05,00:00,1.42210,1.42460,1.41520,1.42220,1871
2011-04-06,00:00,1.42230,1.43490,1.42090,1.43310,1721
2011-04-07,00:00,1.43320,1.43380,1.42430,1.43080,1661
2011-04-08,00:00,1.43080,1.44880,1.42920,1.44840,2161
2011-04-11,00:00,1.44740,1.44840,1.44210,1.44370,891
2011-04-12,00:00,1.44360,1.45180,1.43780,1.44770,2391
2011-04-13,00:00,1.44770,1.45200,1.44140,1.44430,1781
2011-04-14,00:00,1.44430,1.45150,1.43660,1.44880,2531
2011-04-15,00:00,1.44880,1.45040,1.43910,1.44300,1681
2011-04-18,00:00,1.44140,1.44210,1.41580,1.42340,3461
2011-04-19,00:00,1.42340,1.43530,1.42060,1.43340,1941
2011-04-20,00:00,1.43340,1.45450,1.43290,1.45230,2431
2011-04-21,00:00,1.45230,1.46490,1.45060,1.45530,2561
2011-04-22,00:00,1.45530,1.45880,1.45350,1.45610,981
2011-04-25,00:00,1.45620,1.46270,1.45260,1.45810,1831
2011-04-26,00:00,1.45810,1.46570,1.44940,1.46440,2631
2011-04-27,00:00,1.46450,1.47950,1.46330,1.47880,1811
2011-04-28,00:00,1.47880,1.48820,1.47710,1.48230,1871
2011-04-29,00:00,1.48220,1.48780,1.48040,1.48060,1321
2011-05-02,00:00,1.48200,1.49020,1.47630,1.48300,2681
2010-12-08,00:00,1.32610,1.32810,1.31810,1.32620,1991
2011-05-04,00:00,1.48260,1.49400,1.47750,1.48280,3281
2011-05-05,00:00,1.48280,1.48980,1.45100,1.45400,4881
2011-05-06,00:00,1.45390,1.45880,1.43160,1.43190,3241
2011-05-09,00:00,1.43650,1.44420,1.42550,1.43650,3741
2011-05-10,00:00,1.43650,1.44130,1.42710,1.44090,2401
2011-05-11,00:00,1.44100,1.44230,1.41730,1.41920,2821
2011-05-12,00:00,1.41920,1.42770,1.41240,1.42460,2521
2011-05-13,00:00,1.42460,1.43380,1.40670,1.41170,4131
2011-05-16,00:00,1.40910,1.42450,1.40480,1.41560,3291
2011-05-17,00:00,1.41560,1.42390,1.41210,1.42370,1551
2011-05-18,00:00,1.42370,1.42870,1.41950,1.42480,1731
2011-05-19,00:00,1.42420,1.43250,1.42070,1.43100,1681
2011-05-20,00:00,1.43090,1.43450,1.41340,1.41600,2731
2011-05-23,00:00,1.41280,1.41460,1.39690,1.40480,2741
2011-05-24,00:00,1.40480,1.41330,1.40030,1.41000,2081
2011-05-25,00:00,1.41010,1.41180,1.40140,1.40880,1951
2011-05-26,00:00,1.40880,1.42060,1.40680,1.41440,2201
2011-05-27,00:00,1.41450,1.43240,1.41260,1.43190,2221
2011-05-30,00:00,1.43250,1.43250,1.42570,1.42820,931
2011-05-31,00:00,1.42820,1.44240,1.42800,1.43970,1731
2011-06-01,00:00,1.43960,1.44590,1.43210,1.43280,2081
2011-06-02,00:00,1.43290,1.45130,1.43080,1.44910,2481
2011-06-03,00:00,1.44920,1.46430,1.44510,1.46350,2411
2011-06-06,00:00,1.46140,1.46580,1.45580,1.45760,1621
